datetime,Electricity Pricing [£/kWh]
2020-01-01 00:00:00,0.0972
2020-01-01 01:00:00,0.0931
2020-01-01 02:00:00,0.0783
2020-01-01 03:00:00,0.0713
2020-01-01 04:00:00,0.067
2020-01-01 05:00:00,0.0684
2020-01-01 06:00:00,0.0686
2020-01-01 07:00:00,0.0639
2020-01-01 08:00:00,0.0673
2020-01-01 09:00:00,0.0823
2020-01-01 10:00:00,0.0955
2020-01-01 11:00:00,0.1009
2020-01-01 12:00:00,0.0927
2020-01-01 13:00:00,0.0909
2020-01-01 14:00:00,0.0871
2020-01-01 15:00:00,0.0821
2020-01-01 16:00:00,0.247
2020-01-01 17:00:00,0.2523
2020-01-01 18:00:00,0.2291
2020-01-01 19:00:00,0.086
2020-01-01 20:00:00,0.075
2020-01-01 21:00:00,0.0761
2020-01-01 22:00:00,0.0639
2020-01-01 23:00:00,0.0673
2020-01-02 00:00:00,0.0608
2020-01-02 01:00:00,0.0706
2020-01-02 02:00:00,0.0606
2020-01-02 03:00:00,0.0596
2020-01-02 04:00:00,0.0585
2020-01-02 05:00:00,0.0708
2020-01-02 06:00:00,0.0751
2020-01-02 07:00:00,0.0863
2020-01-02 08:00:00,0.0858
2020-01-02 09:00:00,0.0914
2020-01-02 10:00:00,0.0942
2020-01-02 11:00:00,0.0935
2020-01-02 12:00:00,0.0926
2020-01-02 13:00:00,0.0919
2020-01-02 14:00:00,0.0905
2020-01-02 15:00:00,0.086
2020-01-02 16:00:00,0.2313
2020-01-02 17:00:00,0.2423
2020-01-02 18:00:00,0.2236
2020-01-02 19:00:00,0.083
2020-01-02 20:00:00,0.0772
2020-01-02 21:00:00,0.0717
2020-01-02 22:00:00,0.0662
2020-01-02 23:00:00,0.0628
2020-01-03 00:00:00,0.0638
2020-01-03 01:00:00,0.0485
2020-01-03 02:00:00,0.0421
2020-01-03 03:00:00,0.0386
2020-01-03 04:00:00,0.0449
2020-01-03 05:00:00,0.0566
2020-01-03 06:00:00,0.0742
2020-01-03 07:00:00,0.0816
2020-01-03 08:00:00,0.0849
2020-01-03 09:00:00,0.0926
2020-01-03 10:00:00,0.0925
2020-01-03 11:00:00,0.0904
2020-01-03 12:00:00,0.0813
2020-01-03 13:00:00,0.0752
2020-01-03 14:00:00,0.0708
2020-01-03 15:00:00,0.0748
2020-01-03 16:00:00,0.228
2020-01-03 17:00:00,0.233
2020-01-03 18:00:00,0.2208
2020-01-03 19:00:00,0.0788
2020-01-03 20:00:00,0.0743
2020-01-03 21:00:00,0.0801
2020-01-03 22:00:00,0.0673
2020-01-03 23:00:00,0.0623
2020-01-04 00:00:00,0.0578
2020-01-04 01:00:00,0.0576
2020-01-04 02:00:00,0.0488
2020-01-04 03:00:00,0.0505
2020-01-04 04:00:00,0.0486
2020-01-04 05:00:00,0.054
2020-01-04 06:00:00,0.0443
2020-01-04 07:00:00,0.0544
2020-01-04 08:00:00,0.0717
2020-01-04 09:00:00,0.075
2020-01-04 10:00:00,0.075
2020-01-04 11:00:00,0.0838
2020-01-04 12:00:00,0.0812
2020-01-04 13:00:00,0.0839
2020-01-04 14:00:00,0.0805
2020-01-04 15:00:00,0.0748
2020-01-04 16:00:00,0.2366
2020-01-04 17:00:00,0.2638
2020-01-04 18:00:00,0.2437
2020-01-04 19:00:00,0.0982
2020-01-04 20:00:00,0.0785
2020-01-04 21:00:00,0.0823
2020-01-04 22:00:00,0.0789
2020-01-04 23:00:00,0.0889
2020-01-05 00:00:00,0.068
2020-01-05 01:00:00,0.0654
2020-01-05 02:00:00,0.0582
2020-01-05 03:00:00,0.0618
2020-01-05 04:00:00,0.0578
2020-01-05 05:00:00,0.0622
2020-01-05 06:00:00,0.0527
2020-01-05 07:00:00,0.0508
2020-01-05 08:00:00,0.0589
2020-01-05 09:00:00,0.0754
2020-01-05 10:00:00,0.0783
2020-01-05 11:00:00,0.0783
2020-01-05 12:00:00,0.075
2020-01-05 13:00:00,0.0849
2020-01-05 14:00:00,0.0772
2020-01-05 15:00:00,0.0836
2020-01-05 16:00:00,0.2463
2020-01-05 17:00:00,0.2767
2020-01-05 18:00:00,0.2453
2020-01-05 19:00:00,0.0941
