datetime,air_temperature [degC],rltv_hum [%],glbl_irad_amt [W/m2]
2020-01-01 00:00:00,6.0,96.9,0.0
2020-01-01 01:00:00,5.9,95.3,0.0
2020-01-01 02:00:00,6.0,89.1,0.0
2020-01-01 03:00:00,5.8,87.5,0.0
2020-01-01 04:00:00,5.3,90.3,0.0
2020-01-01 05:00:00,4.7,91.8,0.0
2020-01-01 06:00:00,4.3,91.6,0.0
2020-01-01 07:00:00,4.0,93.2,0.0
2020-01-01 08:00:00,3.7,89.7,0.0
2020-01-01 09:00:00,3.9,89.7,4.4
2020-01-01 10:00:00,4.2,88.1,24.7
2020-01-01 11:00:00,4.3,86.5,46.7
2020-01-01 12:00:00,4.8,86.9,59.4
2020-01-01 13:00:00,5.0,85.3,53.6
2020-01-01 14:00:00,5.2,88.7,48.3
2020-01-01 15:00:00,5.3,88.8,35.8
2020-01-01 16:00:00,5.4,90.4,11.4
2020-01-01 17:00:00,5.4,92.0,0.0
2020-01-01 18:00:00,5.5,92.1,0.0
2020-01-01 19:00:00,5.5,93.7,0.0
2020-01-01 20:00:00,5.5,93.7,0.0
2020-01-01 21:00:00,5.4,95.2,0.0
2020-01-01 22:00:00,5.4,95.2,0.0
2020-01-01 23:00:00,5.6,95.2,0.0
2020-01-02 00:00:00,5.8,97.0,0.0
2020-01-02 01:00:00,6.0,96.9,0.0
2020-01-02 02:00:00,6.1,95.2,0.0
2020-01-02 03:00:00,6.2,95.4,0.0
2020-01-02 04:00:00,6.3,95.3,0.0
2020-01-02 05:00:00,6.5,93.9,0.0
2020-01-02 06:00:00,6.7,90.9,0.0
2020-01-02 07:00:00,6.9,89.5,0.0
2020-01-02 08:00:00,7.1,89.7,0.0
2020-01-02 09:00:00,7.2,92.6,7.8
2020-01-02 10:00:00,7.5,91.2,34.2
2020-01-02 11:00:00,8.6,84.7,93.3
2020-01-02 12:00:00,9.2,81.2,131.4
2020-01-02 13:00:00,9.3,82.5,71.9
2020-01-02 14:00:00,9.8,80.3,58.9
2020-01-02 15:00:00,9.8,80.3,49.7
2020-01-02 16:00:00,9.5,81.3,7.5
2020-01-02 17:00:00,9.4,84.0,0.3
2020-01-02 18:00:00,9.3,86.5,0.0
2020-01-02 19:00:00,9.4,86.6,0.0
2020-01-02 20:00:00,9.6,85.4,0.0
2020-01-02 21:00:00,10.0,84.4,0.0
2020-01-02 22:00:00,10.0,86.9,0.0
2020-01-02 23:00:00,10.1,89.5,0.0
2020-01-03 00:00:00,10.3,90.9,0.0
2020-01-03 01:00:00,10.3,92.2,0.0
2020-01-03 02:00:00,10.0,96.1,0.0
2020-01-03 03:00:00,9.9,97.4,0.0
2020-01-03 04:00:00,9.9,98.7,0.0
2020-01-03 05:00:00,9.7,98.7,0.0
2020-01-03 06:00:00,9.5,98.7,0.0
2020-01-03 07:00:00,9.3,97.3,0.0
2020-01-03 08:00:00,9.3,98.6,0.0
2020-01-03 09:00:00,7.2,89.7,5.0
2020-01-03 10:00:00,6.9,76.5,46.4
2020-01-03 11:00:00,6.4,80.4,91.1
2020-01-03 12:00:00,7.0,75.0,123.6
2020-01-03 13:00:00,7.6,67.3,209.2
2020-01-03 14:00:00,7.6,66.0,200.0
2020-01-03 15:00:00,7.3,67.0,129.4
2020-01-03 16:00:00,6.3,74.2,42.2
2020-01-03 17:00:00,5.0,80.6,0.0
2020-01-03 18:00:00,4.9,82.2,0.0
2020-01-03 19:00:00,5.2,80.7,0.0
2020-01-03 20:00:00,4.6,80.3,0.0
2020-01-03 21:00:00,3.7,82.9,0.0
2020-01-03 22:00:00,4.0,81.4,0.0
2020-01-03 23:00:00,3.5,86.1,0.0
2020-01-04 00:00:00,3.3,87.7,0.0
2020-01-04 01:00:00,3.7,87.9,0.0
2020-01-04 02:00:00,3.7,89.7,0.0
2020-01-04 03:00:00,4.2,88.1,0.0
2020-01-04 04:00:00,4.2,88.1,0.0
2020-01-04 05:00:00,4.8,88.5,0.0
2020-01-04 06:00:00,4.1,89.9,0.0
2020-01-04 07:00:00,5.1,87.0,0.0
2020-01-04 08:00:00,5.0,86.9,0.0
2020-01-04 09:00:00,5.5,85.7,17.5
2020-01-04 10:00:00,7.3,79.6,121.9
2020-01-04 11:00:00,7.6,75.6,168.9
2020-01-04 12:00:00,7.5,75.4,138.6
2020-01-04 13:00:00,7.8,74.2,115.8
2020-01-04 14:00:00,8.1,74.6,104.2
2020-01-04 15:00:00,8.0,76.0,58.1
2020-01-04 16:00:00,7.7,78.4,14.7
2020-01-04 17:00:00,7.4,81.1,0.3
2020-01-04 18:00:00,7.3,80.9,0.0
2020-01-04 19:00:00,7.1,80.8,0.0
2020-01-04 20:00:00,7.1,80.8,0.0
2020-01-04 21:00:00,6.9,80.7,0.0
2020-01-04 22:00:00,6.6,83.3,0.0
2020-01-04 23:00:00,6.7,81.9,0.0
2020-01-05 00:00:00,6.3,84.6,0.0
2020-01-05 01:00:00,6.4,84.6,0.0
2020-01-05 02:00:00,6.4,86.2,0.0
2020-01-05 03:00:00,6.6,84.8,0.0
2020-01-05 04:00:00,6.5,90.8,0.0
2020-01-05 05:00:00,6.5,92.4,0.0
2020-01-05 06:00:00,6.5,90.8,0.0
2020-01-05 07:00:00,6.6,89.3,0.0
2020-01-05 08:00:00,6.6,89.3,0.0
2020-01-05 09:00:00,6.6,89.3,5.0
2020-01-05 10:00:00,6.8,90.9,32.5
2020-01-05 11:00:00,7.1,89.6,60.8
2020-01-05 12:00:00,7.6,88.3,88.9
2020-01-05 13:00:00,7.6,87.0,104.2
2020-01-05 14:00:00,7.9,85.6,90.6
2020-01-05 15:00:00,7.8,87.0,63.6
2020-01-05 16:00:00,7.2,88.2,28.1
2020-01-05 17:00:00,7.4,88.3,1.1
2020-01-05 18:00:00,7.2,88.2,0.0
2020-01-05 19:00:00,7.4,86.8,0.0
2020-01-05 20:00:00,7.2,85.2,0.0
2020-01-05 21:00:00,7.1,83.7,0.0
2020-01-05 22:00:00,6.8,83.6,0.0
2020-01-05 23:00:00,6.7,84.9,0.0
2020-01-06 00:00:00,7.0,83.7,0.0
2020-01-06 01:00:00,7.1,82.4,0.0
2020-01-06 02:00:00,7.0,85.1,0.0
2020-01-06 03:00:00,6.9,85.1,0.0
2020-01-06 04:00:00,6.9,80.8,0.0
2020-01-06 05:00:00,6.2,78.6,0.0
2020-01-06 06:00:00,6.2,80.2,0.0
2020-01-06 07:00:00,6.2,80.2,0.0
2020-01-06 08:00:00,6.4,80.4,0.0
2020-01-06 09:00:00,6.3,81.8,4.2
