datetime,air_temperature [degC],rltv_hum [%],glbl_irad_amt [W/m2]
2005-01-01 00:00:00,5.5,85.7,0.0
2005-01-01 01:00:00,5.5,87.3,0.0
2005-01-01 02:00:00,6.5,77.5,0.0
2005-01-01 03:00:00,5.8,84.4,0.0
2005-01-01 04:00:00,6.0,81.5,0.0
2005-01-01 05:00:00,5.5,84.3,0.0
2005-01-01 06:00:00,5.4,87.3,0.0
2005-01-01 07:00:00,5.5,88.9,0.0
2005-01-01 08:00:00,5.7,89.1,0.0
2005-01-01 09:00:00,7.1,86.7,10.3
2005-01-01 10:00:00,8.0,82.9,49.2
2005-01-01 11:00:00,8.4,83.2,82.5
2005-01-01 12:00:00,9.1,77.2,110.3
2005-01-01 13:00:00,9.2,82.6,118.6
2005-01-01 14:00:00,9.7,84.1,54.7
2005-01-01 15:00:00,10.4,87.1,32.5
2005-01-01 16:00:00,11.0,86.1,10.3
2005-01-01 17:00:00,11.3,87.6,0.0
2005-01-01 18:00:00,9.5,67.3,0.0
2005-01-01 19:00:00,8.3,67.1,0.0
2005-01-01 20:00:00,7.5,61.9,0.0
2005-01-01 21:00:00,6.9,58.1,0.0
2005-01-01 22:00:00,6.3,61.4,0.0
2005-01-01 23:00:00,5.9,63.6,0.0
2005-01-02 00:00:00,5.3,56.6,0.0
2005-01-02 01:00:00,4.4,62.6,0.0
2005-01-02 02:00:00,3.9,63.4,0.0
2005-01-02 03:00:00,3.4,64.1,0.0
2005-01-02 04:00:00,3.4,65.8,0.0
2005-01-02 05:00:00,3.6,66.1,0.0
2005-01-02 06:00:00,3.6,67.8,0.0
2005-01-02 07:00:00,2.7,71.7,0.0
2005-01-02 08:00:00,2.4,73.0,0.0
2005-01-02 09:00:00,2.7,73.2,13.9
2005-01-02 10:00:00,3.7,71.2,88.9
2005-01-02 11:00:00,5.3,64.0,177.8
2005-01-02 12:00:00,6.1,57.9,233.3
2005-01-02 13:00:00,6.5,60.0,238.9
2005-01-02 14:00:00,6.8,57.7,211.1
2005-01-02 15:00:00,6.8,56.3,91.7
2005-01-02 16:00:00,6.0,62.0,33.3
2005-01-02 17:00:00,5.4,67.1,2.8
2005-01-02 18:00:00,5.0,69.5,0.0
2005-01-02 19:00:00,4.2,71.6,0.0
2005-01-02 20:00:00,3.8,74.6,0.0
2005-01-02 21:00:00,3.1,78.9,0.0
2005-01-02 22:00:00,3.2,77.2,0.0
2005-01-02 23:00:00,3.0,80.5,0.0
2005-01-03 00:00:00,3.7,77.8,0.0
2005-01-03 01:00:00,3.6,77.6,0.0
2005-01-03 02:00:00,3.9,79.6,0.0
2005-01-03 03:00:00,4.4,81.6,0.0
2005-01-03 04:00:00,4.8,82.0,0.0
2005-01-03 05:00:00,4.4,86.6,0.0
2005-01-03 06:00:00,5.4,84.2,0.0
2005-01-03 07:00:00,4.8,85.3,0.0
2005-01-03 08:00:00,4.4,86.6,0.0
2005-01-03 09:00:00,4.9,87.0,21.1
2005-01-03 10:00:00,6.2,81.6,93.3
2005-01-03 11:00:00,7.4,81.1,140.6
2005-01-03 12:00:00,8.9,75.5,176.7
2005-01-03 13:00:00,10.1,67.7,268.3
2005-01-03 14:00:00,9.9,68.8,162.8
2005-01-03 15:00:00,9.5,70.9,57.2
2005-01-03 16:00:00,9.0,76.9,10.0
2005-01-03 17:00:00,8.7,80.7,1.7
2005-01-03 18:00:00,8.6,80.6,0.0
2005-01-03 19:00:00,8.7,79.4,0.0
2005-01-03 20:00:00,8.6,79.2,0.0
2005-01-03 21:00:00,8.5,80.5,0.0
2005-01-03 22:00:00,8.3,81.7,0.0
2005-01-03 23:00:00,8.5,75.1,0.0
2005-01-04 00:00:00,8.5,73.8,0.0
2005-01-04 01:00:00,8.7,67.4,0.0
2005-01-04 02:00:00,8.3,70.9,0.0
2005-01-04 03:00:00,8.4,68.4,0.0
2005-01-04 04:00:00,8.4,67.0,0.0
2005-01-04 05:00:00,8.6,68.6,0.0
2005-01-04 06:00:00,9.0,67.9,0.0
2005-01-04 07:00:00,9.3,68.2,0.0
2005-01-04 08:00:00,9.2,70.6,1.7
2005-01-04 09:00:00,9.3,72.1,12.8
2005-01-04 10:00:00,9.5,72.3,43.3
2005-01-04 11:00:00,10.1,70.5,87.8
2005-01-04 12:00:00,10.3,73.2,48.9
2005-01-04 13:00:00,10.1,77.9,29.4
2005-01-04 14:00:00,9.8,85.4,35.0
2005-01-04 15:00:00,9.6,89.3,18.3
2005-01-04 16:00:00,8.5,87.5,10.0
