datetime,solar generation [W/kW],irradiance_direct [W/m2],irradiance_diffuse [W/m2],temperature [degC]
2004-01-01 00:00:00,0.0,0.0,0.0,2.017
2004-01-01 01:00:00,0.0,0.0,0.0,1.589
2004-01-01 02:00:00,0.0,0.0,0.0,1.05
2004-01-01 03:00:00,0.0,0.0,0.0,0.866
2004-01-01 04:00:00,0.0,0.0,0.0,0.713
2004-01-01 05:00:00,0.0,0.0,0.0,0.713
2004-01-01 06:00:00,0.0,0.0,0.0,0.925
2004-01-01 07:00:00,0.0,0.0,0.0,1.403
2004-01-01 08:00:00,0.0,0.0,3.0,1.93
2004-01-01 09:00:00,13.0,2.0,23.0,2.52
2004-01-01 10:00:00,34.0,4.0,46.0,3.149
2004-01-01 11:00:00,36.0,3.0,49.0,3.654
2004-01-01 12:00:00,32.0,3.0,45.0,3.989
2004-01-01 13:00:00,25.0,2.0,37.0,4.14
2004-01-01 14:00:00,10.0,1.0,20.0,4.152
2004-01-01 15:00:00,0.0,0.0,3.0,4.121
2004-01-01 16:00:00,0.0,0.0,0.0,4.307
2004-01-01 17:00:00,0.0,0.0,0.0,4.539
2004-01-01 18:00:00,0.0,0.0,0.0,4.688
2004-01-01 19:00:00,0.0,0.0,0.0,4.651
2004-01-01 20:00:00,0.0,0.0,0.0,4.355
2004-01-01 21:00:00,0.0,0.0,0.0,3.928
2004-01-01 22:00:00,0.0,0.0,0.0,3.525
2004-01-01 23:00:00,0.0,0.0,0.0,3.248
2004-01-02 00:00:00,0.0,0.0,0.0,3.138
2004-01-02 01:00:00,0.0,0.0,0.0,3.122
2004-01-02 02:00:00,0.0,0.0,0.0,3.139
2004-01-02 03:00:00,0.0,0.0,0.0,3.067
2004-01-02 04:00:00,0.0,0.0,0.0,2.819
2004-01-02 05:00:00,0.0,0.0,0.0,2.475
2004-01-02 06:00:00,0.0,0.0,0.0,2.022
2004-01-02 07:00:00,0.0,0.0,0.0,1.402
2004-01-02 08:00:00,13.0,13.0,12.0,0.925
2004-01-02 09:00:00,137.0,98.0,59.0,1.858
2004-01-02 10:00:00,288.0,230.0,85.0,2.632
2004-01-02 11:00:00,338.0,272.0,97.0,3.285
2004-01-02 12:00:00,280.0,203.0,103.0,3.374
2004-01-02 13:00:00,185.0,118.0,89.0,3.078
2004-01-02 14:00:00,120.0,81.0,59.0,2.369
2004-01-02 15:00:00,31.0,31.0,15.0,0.074
2004-01-02 16:00:00,0.0,0.0,0.0,-2.061
2004-01-02 17:00:00,0.0,0.0,0.0,-2.904
2004-01-02 18:00:00,0.0,0.0,0.0,-3.442
2004-01-02 19:00:00,0.0,0.0,0.0,-3.828
2004-01-02 20:00:00,0.0,0.0,0.0,-3.993
2004-01-02 21:00:00,0.0,0.0,0.0,-4.028
2004-01-02 22:00:00,0.0,0.0,0.0,-3.952
2004-01-02 23:00:00,0.0,0.0,0.0,-3.605
2004-01-03 00:00:00,0.0,0.0,0.0,-3.133
2004-01-03 01:00:00,0.0,0.0,0.0,-2.735
2004-01-03 02:00:00,0.0,0.0,0.0,-2.423
2004-01-03 03:00:00,0.0,0.0,0.0,-2.026
2004-01-03 04:00:00,0.0,0.0,0.0,-1.828
2004-01-03 05:00:00,0.0,0.0,0.0,-1.812
2004-01-03 06:00:00,0.0,0.0,0.0,-1.801
2004-01-03 07:00:00,0.0,0.0,0.0,-1.737
2004-01-03 08:00:00,2.0,2.0,7.0,-1.584
2004-01-03 09:00:00,39.0,12.0,43.0,-1.015
2004-01-03 10:00:00,134.0,61.0,91.0,-0.185
2004-01-03 11:00:00,203.0,110.0,112.0,0.629
2004-01-03 12:00:00,199.0,107.0,112.0,1.056
2004-01-03 13:00:00,152.0,78.0,94.0,1.21
2004-01-03 14:00:00,75.0,35.0,57.0,0.894
2004-01-03 15:00:00,8.0,7.0,11.0,0.007
2004-01-03 16:00:00,0.0,0.0,0.0,-0.061
2004-01-03 17:00:00,0.0,0.0,0.0,0.304
2004-01-03 18:00:00,0.0,0.0,0.0,0.554
2004-01-03 19:00:00,0.0,0.0,0.0,0.931
2004-01-03 20:00:00,0.0,0.0,0.0,1.298
2004-01-03 21:00:00,0.0,0.0,0.0,1.529
2004-01-03 22:00:00,0.0,0.0,0.0,1.61
2004-01-03 23:00:00,0.0,0.0,0.0,1.621
2004-01-04 00:00:00,0.0,0.0,0.0,1.682
2004-01-04 01:00:00,0.0,0.0,0.0,1.811
2004-01-04 02:00:00,0.0,0.0,0.0,1.923
2004-01-04 03:00:00,0.0,0.0,0.0,2.044
