datetime,equipment load [kWh]
2012-01-01 00:00:00,490.4
2012-01-01 01:00:00,981.9
2012-01-01 02:00:00,983.4
2012-01-01 03:00:00,984.4
2012-01-01 04:00:00,983.4
2012-01-01 05:00:00,988.2
2012-01-01 06:00:00,982.1
2012-01-01 07:00:00,984.2
2012-01-01 08:00:00,984.1
2012-01-01 09:00:00,986.5
2012-01-01 10:00:00,982.9
2012-01-01 11:00:00,988.9
2012-01-01 12:00:00,992.8
2012-01-01 13:00:00,994.0
2012-01-01 14:00:00,992.4
2012-01-01 15:00:00,997.9
2012-01-01 16:00:00,997.0
2012-01-01 17:00:00,998.0
2012-01-01 18:00:00,1001.0
2012-01-01 19:00:00,1004.9
2012-01-01 20:00:00,996.4
2012-01-01 21:00:00,991.5
2012-01-01 22:00:00,988.6
2012-01-01 23:00:00,975.9
2012-01-02 00:00:00,977.4
2012-01-02 01:00:00,972.0
2012-01-02 02:00:00,987.7
2012-01-02 03:00:00,986.5
2012-01-02 04:00:00,985.5
2012-01-02 05:00:00,984.0
2012-01-02 06:00:00,983.9
2012-01-02 07:00:00,999.3
2012-01-02 08:00:00,1001.4
2012-01-02 09:00:00,1019.6
2012-01-02 10:00:00,1028.7
2012-01-02 11:00:00,1038.6
2012-01-02 12:00:00,1041.9
2012-01-02 13:00:00,1034.6
2012-01-02 14:00:00,1035.2
2012-01-02 15:00:00,1047.3
2012-01-02 16:00:00,1058.1
2012-01-02 17:00:00,1070.6
2012-01-02 18:00:00,1050.6
2012-01-02 19:00:00,1040.5
2012-01-02 20:00:00,1029.6
2012-01-02 21:00:00,1021.7
2012-01-02 22:00:00,1008.4
2012-01-02 23:00:00,1005.2
2012-01-03 00:00:00,997.2
2012-01-03 01:00:00,1003.7
2012-01-03 02:00:00,987.3
2012-01-03 03:00:00,982.4
2012-01-03 04:00:00,989.9
2012-01-03 05:00:00,995.8
2012-01-03 06:00:00,990.2
2012-01-03 07:00:00,1027.2
2012-01-03 08:00:00,1097.4
2012-01-03 09:00:00,1158.1
2012-01-03 10:00:00,1204.0
2012-01-03 11:00:00,1230.8
2012-01-03 12:00:00,1252.1
2012-01-03 13:00:00,1266.8
2012-01-03 14:00:00,1255.4
2012-01-03 15:00:00,1260.5
2012-01-03 16:00:00,1260.5
2012-01-03 17:00:00,1230.1
2012-01-03 18:00:00,1172.8
2012-01-03 19:00:00,1132.5
2012-01-03 20:00:00,1119.3
2012-01-03 21:00:00,1096.9
2012-01-03 22:00:00,1089.5
2012-01-03 23:00:00,1075.6
2012-01-04 00:00:00,1034.0
2012-01-04 01:00:00,1019.8
2012-01-04 02:00:00,1029.1
2012-01-04 03:00:00,1025.3
2012-01-04 04:00:00,1030.2
2012-01-04 05:00:00,1040.5
2012-01-04 06:00:00,1039.7
2012-01-04 07:00:00,1084.8
2012-01-04 08:00:00,1150.2
2012-01-04 09:00:00,1212.8
2012-01-04 10:00:00,1274.0
2012-01-04 11:00:00,1301.3
2012-01-04 12:00:00,1298.0
2012-01-04 13:00:00,1303.1
2012-01-04 14:00:00,1303.7
2012-01-04 15:00:00,1302.0
2012-01-04 16:00:00,1291.5
2012-01-04 17:00:00,1255.7
2012-01-04 18:00:00,1222.7
2012-01-04 19:00:00,1167.8
2012-01-04 20:00:00,1128.9
2012-01-04 21:00:00,1099.4
2012-01-04 22:00:00,1080.8
2012-01-04 23:00:00,1059.7
2012-01-05 00:00:00,1045.1
2012-01-05 01:00:00,1024.4
2012-01-05 02:00:00,1044.3
2012-01-05 03:00:00,1030.5
2012-01-05 04:00:00,1033.4
2012-01-05 05:00:00,1051.8
2012-01-05 06:00:00,1050.3
2012-01-05 07:00:00,1092.1
2012-01-05 08:00:00,1154.3
2012-01-05 09:00:00,1214.6
2012-01-05 10:00:00,1282.0
2012-01-05 11:00:00,1308.9
2012-01-05 12:00:00,1315.2
2012-01-05 13:00:00,1308.7
2012-01-05 14:00:00,1319.0
2012-01-05 15:00:00,1327.1
2012-01-05 16:00:00,1323.0
2012-01-05 17:00:00,1299.7
2012-01-05 18:00:00,1243.8
2012-01-05 19:00:00,1194.5
2012-01-05 20:00:00,1149.0
2012-01-05 21:00:00,1120.4
2012-01-05 22:00:00,1104.9
2012-01-05 23:00:00,1082.1
2012-01-06 00:00:00,1061.2
2012-01-06 01:00:00,1066.6
2012-01-06 02:00:00,1054.7
2012-01-06 03:00:00,1052.5
2012-01-06 04:00:00,1050.2
2012-01-06 05:00:00,1051.8
2012-01-06 06:00:00,1069.1
2012-01-06 07:00:00,1108.7
2012-01-06 08:00:00,1175.3
2012-01-06 09:00:00,1252.4
2012-01-06 10:00:00,1309.5
2012-01-06 11:00:00,1335.8
2012-01-06 12:00:00,1326.7
2012-01-06 13:00:00,1310.0
2012-01-06 14:00:00,1319.9
2012-01-06 15:00:00,1321.8
2012-01-06 16:00:00,1298.2
2012-01-06 17:00:00,1292.2
2012-01-06 18:00:00,1242.7
2012-01-06 19:00:00,1184.3
2012-01-06 20:00:00,1152.7
2012-01-06 21:00:00,1120.1
2012-01-06 22:00:00,1097.0
2012-01-06 23:00:00,1081.5
2012-01-07 00:00:00,1044.2
2012-01-07 01:00:00,1041.0
2012-01-07 02:00:00,1046.2
2012-01-07 03:00:00,1037.7
2012-01-07 04:00:00,1043.0
2012-01-07 05:00:00,1038.5
2012-01-07 06:00:00,1041.0
2012-01-07 07:00:00,1053.8
2012-01-07 08:00:00,1057.1
2012-01-07 09:00:00,1062.2
2012-01-07 10:00:00,1086.4
2012-01-07 11:00:00,1089.2
2012-01-07 12:00:00,1103.6
2012-01-07 13:00:00,1108.1
2012-01-07 14:00:00,1113.4
2012-01-07 15:00:00,1111.3
2012-01-07 16:00:00,1121.4
2012-01-07 17:00:00,1126.5
2012-01-07 18:00:00,1098.5
2012-01-07 19:00:00,1094.9
2012-01-07 20:00:00,1082.4
2012-01-07 21:00:00,1074.8
2012-01-07 22:00:00,1062.1
2012-01-07 23:00:00,1053.4
2012-01-08 00:00:00,1043.6
2012-01-08 01:00:00,1034.9
2012-01-08 02:00:00,1046.7
2012-01-08 03:00:00,1039.5
2012-01-08 04:00:00,1040.2
2012-01-08 05:00:00,1042.7
2012-01-08 06:00:00,1038.5
2012-01-08 07:00:00,1046.0
2012-01-08 08:00:00,1042.7
2012-01-08 09:00:00,1060.8
2012-01-08 10:00:00,1067.5
2012-01-08 11:00:00,1078.2
2012-01-08 12:00:00,1089.7
2012-01-08 13:00:00,1092.5
2012-01-08 14:00:00,1098.2
2012-01-08 15:00:00,1110.3
2012-01-08 16:00:00,1116.1
2012-01-08 17:00:00,1104.9
2012-01-08 18:00:00,1106.4
2012-01-08 19:00:00,1098.3
2012-01-08 20:00:00,1079.4
2012-01-08 21:00:00,1066.6
2012-01-08 22:00:00,1075.1
2012-01-08 23:00:00,1071.2
2012-01-09 00:00:00,1065.9
2012-01-09 01:00:00,1058.2
2012-01-09 02:00:00,1040.8
2012-01-09 03:00:00,1051.8
2012-01-09 04:00:00,1047.7
2012-01-09 05:00:00,1053.1
2012-01-09 06:00:00,1059.9
2012-01-09 07:00:00,1089.1
2012-01-09 08:00:00,1153.8
2012-01-09 09:00:00,1251.3
2012-01-09 10:00:00,1353.3
2012-01-09 11:00:00,1376.6
2012-01-09 12:00:00,1377.3
2012-01-09 13:00:00,1397.2
2012-01-09 14:00:00,1396.4
2012-01-09 15:00:00,1409.9
2012-01-09 16:00:00,1383.6
2012-01-09 17:00:00,1343.8
2012-01-09 18:00:00,1274.5
2012-01-09 19:00:00,1219.4
2012-01-09 20:00:00,1187.9
2012-01-09 21:00:00,1155.1
2012-01-09 22:00:00,1127.8
2012-01-09 23:00:00,1104.3
2012-01-10 00:00:00,1080.7
2012-01-10 01:00:00,1069.0
2012-01-10 02:00:00,1053.9
2012-01-10 03:00:00,1060.4
2012-01-10 04:00:00,1051.8
2012-01-10 05:00:00,1056.7
2012-01-10 06:00:00,1067.3
2012-01-10 07:00:00,1086.2
2012-01-10 08:00:00,1161.3
2012-01-10 09:00:00,1259.5
2012-01-10 10:00:00,1343.7
2012-01-10 11:00:00,1358.2
2012-01-10 12:00:00,1375.1
2012-01-10 13:00:00,1369.4
2012-01-10 14:00:00,1392.5
2012-01-10 15:00:00,1402.9
2012-01-10 16:00:00,1395.3
2012-01-10 17:00:00,1353.0
2012-01-10 18:00:00,1275.7
2012-01-10 19:00:00,1227.8
2012-01-10 20:00:00,1180.7
2012-01-10 21:00:00,1152.3
2012-01-10 22:00:00,1131.8
2012-01-10 23:00:00,1105.9
2012-01-11 00:00:00,1084.1
2012-01-11 01:00:00,1080.9
2012-01-11 02:00:00,1072.0
2012-01-11 03:00:00,1066.8
2012-01-11 04:00:00,1068.8
2012-01-11 05:00:00,1077.7
2012-01-11 06:00:00,1092.4
2012-01-11 07:00:00,1126.5
2012-01-11 08:00:00,1198.4
2012-01-11 09:00:00,1281.7
2012-01-11 10:00:00,1370.6
2012-01-11 11:00:00,1394.0
2012-01-11 12:00:00,1393.0
2012-01-11 13:00:00,1380.7
2012-01-11 14:00:00,1404.2
2012-01-11 15:00:00,1403.1
2012-01-11 16:00:00,1377.5
2012-01-11 17:00:00,1335.7
2012-01-11 18:00:00,1272.5
2012-01-11 19:00:00,1216.2
2012-01-11 20:00:00,1160.9
2012-01-11 21:00:00,1135.2
2012-01-11 22:00:00,1114.9
2012-01-11 23:00:00,1080.4
2012-01-12 00:00:00,1076.1
2012-01-12 01:00:00,1069.9
2012-01-12 02:00:00,1065.9
2012-01-12 03:00:00,1065.6
2012-01-12 04:00:00,1060.6
2012-01-12 05:00:00,1061.9
2012-01-12 06:00:00,1070.0
2012-01-12 07:00:00,1108.3
2012-01-12 08:00:00,1181.3
2012-01-12 09:00:00,1277.3
2012-01-12 10:00:00,1369.2
2012-01-12 11:00:00,1400.3
2012-01-12 12:00:00,1411.2
2012-01-12 13:00:00,1407.5
2012-01-12 14:00:00,1411.3
2012-01-12 15:00:00,1420.4
2012-01-12 16:00:00,1401.0
2012-01-12 17:00:00,1361.7
2012-01-12 18:00:00,1288.4
2012-01-12 19:00:00,1230.6
2012-01-12 20:00:00,1175.2
2012-01-12 21:00:00,1152.5
2012-01-12 22:00:00,1131.5
2012-01-12 23:00:00,1104.3
2012-01-13 00:00:00,1088.4
2012-01-13 01:00:00,1086.0
2012-01-13 02:00:00,1085.2
2012-01-13 03:00:00,1080.6
2012-01-13 04:00:00,1073.3
2012-01-13 05:00:00,1082.2
2012-01-13 06:00:00,1088.1
2012-01-13 07:00:00,1146.7
2012-01-13 08:00:00,1218.5
2012-01-13 09:00:00,1281.2
2012-01-13 10:00:00,1355.3
2012-01-13 11:00:00,1423.5
2012-01-13 12:00:00,1414.2
2012-01-13 13:00:00,1395.9
2012-01-13 14:00:00,1406.8
2012-01-13 15:00:00,1412.7
2012-01-13 16:00:00,1408.4
2012-01-13 17:00:00,1375.0
2012-01-13 18:00:00,1301.1
2012-01-13 19:00:00,1209.0
2012-01-13 20:00:00,1160.3
2012-01-13 21:00:00,1146.9
2012-01-13 22:00:00,1134.4
2012-01-13 23:00:00,1129.2
2012-01-14 00:00:00,1094.0
2012-01-14 01:00:00,1087.3
2012-01-14 02:00:00,1092.6
2012-01-14 03:00:00,1088.7
2012-01-14 04:00:00,1087.0
2012-01-14 05:00:00,1086.8
2012-01-14 06:00:00,1086.0
2012-01-14 07:00:00,1096.5
2012-01-14 08:00:00,1111.3
2012-01-14 09:00:00,1099.2
2012-01-14 10:00:00,1097.9
2012-01-14 11:00:00,1105.8
2012-01-14 12:00:00,1125.7
2012-01-14 13:00:00,1128.1
2012-01-14 14:00:00,1119.0
2012-01-14 15:00:00,1119.1
2012-01-14 16:00:00,1128.1
2012-01-14 17:00:00,1140.8
2012-01-14 18:00:00,1141.0
2012-01-14 19:00:00,1145.1
2012-01-14 20:00:00,1129.1
2012-01-14 21:00:00,1112.2
2012-01-14 22:00:00,1100.8
2012-01-14 23:00:00,1092.0
2012-01-15 00:00:00,1077.8
2012-01-15 01:00:00,1078.1
2012-01-15 02:00:00,1077.0
2012-01-15 03:00:00,1072.2
2012-01-15 04:00:00,1074.6
2012-01-15 05:00:00,1070.8
2012-01-15 06:00:00,1072.5
2012-01-15 07:00:00,1068.0
2012-01-15 08:00:00,1073.8
2012-01-15 09:00:00,1080.9
2012-01-15 10:00:00,1080.5
2012-01-15 11:00:00,1090.4
2012-01-15 12:00:00,1093.1
2012-01-15 13:00:00,1114.7
2012-01-15 14:00:00,1116.4
2012-01-15 15:00:00,1111.0
2012-01-15 16:00:00,1113.0
2012-01-15 17:00:00,1113.9
2012-01-15 18:00:00,1112.6
2012-01-15 19:00:00,1099.2
2012-01-15 20:00:00,1103.5
2012-01-15 21:00:00,1086.8
2012-01-15 22:00:00,1086.8
2012-01-15 23:00:00,1073.0
2012-01-16 00:00:00,1070.1
2012-01-16 01:00:00,1063.8
2012-01-16 02:00:00,1068.4
2012-01-16 03:00:00,1068.5
2012-01-16 04:00:00,1069.0
2012-01-16 05:00:00,1075.0
2012-01-16 06:00:00,1086.3
2012-01-16 07:00:00,1158.6
2012-01-16 08:00:00,1246.5
2012-01-16 09:00:00,1309.0
2012-01-16 10:00:00,1410.1
2012-01-16 11:00:00,1457.1
2012-01-16 12:00:00,1444.9
2012-01-16 13:00:00,1438.6
2012-01-16 14:00:00,1450.4
2012-01-16 15:00:00,1433.2
2012-01-16 16:00:00,1438.4
2012-01-16 17:00:00,1417.9
