Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
12,24,5,0,,,,903.5,0,0,0,0.0
1,1,6,0,,,,910.5,0,0,0,0.0
1,2,6,0,,,,921.5,0,0,0,0.0
1,3,6,0,,,,934.5,0,0,0,0.0
1,4,6,0,,,,903.5,0,0,0,0.0
1,5,6,0,,,,903.5,0,0,0,0.0
1,6,6,0,,,,908.5,0,0,0,0.0
1,7,6,0,,,,932.0,0,0,0,0.0
1,8,6,0,,,,954.5,0,0,0,1.0
1,9,6,0,,,,952.5,0,0,0,15.0
1,10,6,0,,,,956.5,0,0,0,40.0
1,11,6,0,,,,953.5,0,0,0,67.0
1,12,6,0,,,,960.0,0,0,0,94.0
1,13,6,0,,,,965.5,0,0,0,67.0
1,14,6,0,,,,972.5,0,0,0,18.0
1,15,6,0,,,,966.5,0,0,0,0.0
1,16,6,0,,,,973.0,0,0,0,0.0
1,17,6,0,,,,955.0,0,0,0,0.0
1,18,6,0,,,,928.5,0,0,0,0.0
1,19,6,0,,,,907.5,0,0,0,0.0
1,20,6,0,,,,912.5,0,0,0,0.0
1,21,6,0,,,,913.0,0,0,0,0.0
1,22,6,0,,,,912.0,0,0,0,0.0
1,23,6,0,,,,909.0,0,0,0,0.0
1,24,6,0,,,,904.0,0,0,0,0.0
1,1,7,0,,,,903.0,0,0,0,0.0
1,2,7,0,,,,900.0,0,0,0,0.0
1,3,7,0,,,,894.0,0,0,0,0.0
1,4,7,0,,,,896.5,0,0,0,0.0
1,5,7,0,,,,893.0,0,0,0,0.0
1,6,7,0,,,,892.0,0,0,0,0.0
1,7,7,0,,,,891.0,0,0,0,0.0
1,8,7,0,,,,893.5,0,0,0,14.0
1,9,7,0,,,,899.5,0,0,0,89.0
1,10,7,0,,,,900.5,0,0,0,135.0
1,11,7,0,,,,907.0,0,0,0,124.0
1,12,7,0,,,,911.0,0,0,0,88.0
1,13,7,0,,,,915.5,0,0,0,60.0
1,14,7,0,,,,915.5,0,0,0,19.0
