Electricity Pricing [£/kWh],6h Prediction Electricity Pricing [£/kWh],12h Prediction Electricity Pricing [£/kWh],24h Prediction Electricity Pricing [£/kWh]
0.1462,0.1125,0.1287,0.1102
0.1365,0.075,0.1415,0.1087
0.1098,0.0867,0.1499,0.1069
0.101,0.1104,0.1082,0.1031
0.1105,0.1313,0.2931,0.1019
0.1067,0.1159,0.318,0.1026
0.1125,0.1287,0.2904,0.1169
0.075,0.1415,0.1543,0.113
0.0867,0.1499,0.1315,0.1286
0.1104,0.1082,0.115,0.1411
0.1313,0.2931,0.1101,0.1451
0.1159,0.318,0.1043,0.1435
0.1287,0.2904,0.1102,0.1474
0.1415,0.1543,0.1087,0.1422
0.1499,0.1315,0.1069,0.1367
0.1082,0.115,0.1031,0.1385
0.2931,0.1101,0.1019,0.3243
0.318,0.1043,0.1026,0.35
0.2904,0.1102,0.1169,0.3347
0.1543,0.1087,0.113,0.1841
0.1315,0.1069,0.1286,0.1488
0.115,0.1031,0.1411,0.1261
0.1101,0.1019,0.1451,0.1158
0.1043,0.1026,0.1435,0.1233
0.1102,0.1169,0.1474,0.1312
0.1087,0.113,0.1422,0.1312
0.1069,0.1286,0.1367,0.1301
0.1031,0.1411,0.1385,0.1213
0.1019,0.1451,0.3243,0.1213
0.1026,0.1435,0.35,0.1213
0.1169,0.1474,0.3347,0.1316
0.113,0.1422,0.1841,0.1506
0.1286,0.1367,0.1488,0.173
0.1411,0.1385,0.1261,0.1771
0.1451,0.3243,0.1158,0.1682
0.1435,0.35,0.1233,0.158
0.1474,0.3347,0.1312,0.1571
0.1422,0.1841,0.1312,0.1532
0.1367,0.1488,0.1301,0.1467
0.1385,0.1261,0.1213,0.1697
0.3243,0.1158,0.1213,0.3367
0.35,0.1233,0.1213,0.35
0.3347,0.1312,0.1316,0.35
0.1841,0.1312,0.1506,0.1869
0.1488,0.1301,0.173,0.161
0.1261,0.1213,0.1771,0.1444
0.1158,0.1213,0.1682,0.1211
0.1233,0.1213,0.158,0.1289
0.1312,0.1316,0.1571,0.1346
0.1312,0.1506,0.1532,0.1367
0.1301,0.173,0.1467,0.1148
0.1213,0.1771,0.1697,0.1158
0.1213,0.1682,0.3367,0.1146
0.1213,0.158,0.35,0.1208
0.1316,0.1571,0.35,0.1312
0.1506,0.1532,0.1869,0.1529
0.173,0.1467,0.161,0.1771
0.1771,0.1697,0.1444,0.1841
0.1682,0.3367,0.1211,0.1801
0.158,0.35,0.1289,0.1552
0.1571,0.35,0.1346,0.1544
0.1532,0.1869,0.1367,0.1539
0.1467,0.161,0.1148,0.1544
0.1697,0.1444,0.1158,0.1704
0.3367,0.1211,0.1146,0.3323
0.35,0.1289,0.1208,0.3394
0.35,0.1346,0.1312,0.3082
0.1869,0.1367,0.1529,0.1704
0.161,0.1148,0.1771,0.1409
0.1444,0.1158,0.1841,0.1374
0.1211,0.1146,0.1801,0.1345
0.1289,0.1208,0.1552,0.1327
0.1346,0.1312,0.1544,0.121
0.1367,0.1529,0.1539,0.1154
0.1148,0.1771,0.1544,0.1167
0.1158,0.1841,0.1704,0.1147
